,symboling,CarName,doornumber,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,diesel,gas,front,rear,std,turbo,price
0,3,2,2,0,2,88.6,168.8,64.1,48.8,2548.0,0,4,130.0,5,3.47,2.68,9.0,111.0,5000.0,21.0,27,0,1,1,0,1,0,13495.0
1,3,3,2,0,2,88.6,168.8,64.1,48.8,2548.0,0,4,130.0,5,3.47,2.68,9.0,111.0,5000.0,21.0,27,0,1,1,0,1,0,16500.0
2,1,1,2,2,2,94.5,171.2,65.5,52.4,2823.0,5,6,152.0,5,2.68,3.47,9.0,154.0,5000.0,19.0,26,0,1,1,0,1,0,16500.0
3,2,4,4,3,1,99.8,176.6,66.2,54.3,2337.0,3,4,109.0,5,3.19,3.4,10.0,102.0,5500.0,24.0,30,0,1,1,0,1,0,13950.0
4,2,5,4,3,0,99.4,176.6,66.4,54.3,2824.0,3,5,136.0,5,3.19,3.4,8.0,115.0,5500.0,18.0,22,0,1,1,0,1,0,17450.0
5,2,9,2,3,1,99.8,177.3,66.3,53.1,2507.0,3,5,136.0,5,3.19,3.4,8.5,110.0,5500.0,19.0,25,0,1,1,0,1,0,15250.0
6,1,5,4,3,1,105.8,192.7,71.4,55.7,2844.0,3,5,136.0,5,3.19,3.4,8.5,110.0,5500.0,19.0,25,0,1,1,0,1,0,17710.0
7,1,7,4,4,1,105.8,192.7,71.4,55.7,2954.0,3,5,136.0,5,3.19,3.4,8.5,110.0,5500.0,19.0,25,0,1,1,0,1,0,18920.0
8,1,6,4,3,1,105.8,192.7,71.4,55.9,3086.0,3,5,131.0,5,3.13,3.4,8.3,140.0,5500.0,17.0,20,0,1,1,0,0,1,23875.0
9,0,8,2,2,0,99.5,178.2,67.9,52.0,3053.0,3,5,131.0,5,3.13,3.4,7.0,160.0,5500.0,16.0,22,0,1,1,0,0,1,17859.167
10,2,10,2,3,2,101.2,176.8,64.8,54.3,2395.0,3,4,108.0,5,3.5,2.8,8.8,101.0,5800.0,23.0,29,0,1,1,0,1,0,16430.0
11,0,10,4,3,2,101.2,176.8,64.8,54.3,2395.0,3,4,108.0,5,3.5,2.8,8.8,101.0,5800.0,23.0,29,0,1,1,0,1,0,16925.0
12,0,11,2,3,2,101.2,176.8,64.8,54.3,2710.0,3,6,164.0,5,3.31,3.19,9.0,121.0,4250.0,21.0,28,0,1,1,0,1,0,20970.0
13,0,12,4,3,2,101.2,176.8,64.8,54.3,2765.0,3,6,164.0,5,3.31,3.19,9.0,121.0,4250.0,21.0,28,0,1,1,0,1,0,21105.0
14,1,15,4,3,2,103.5,189.0,66.9,55.7,3055.0,3,6,164.0,5,3.31,3.19,9.0,121.0,4250.0,20.0,25,0,1,1,0,1,0,24565.0
15,0,13,4,3,2,103.5,189.0,66.9,55.7,3230.0,3,6,209.0,5,3.62,3.39,8.0,182.0,5400.0,16.0,22,0,1,1,0,1,0,30760.0
16,0,14,2,3,2,103.5,193.8,67.9,53.7,3380.0,3,6,209.0,5,3.62,3.39,8.0,182.0,5400.0,16.0,22,0,1,1,0,1,0,41315.0
17,0,12,4,3,2,110.0,197.0,70.9,56.3,3505.0,3,6,209.0,5,3.62,3.39,8.0,182.0,5400.0,15.0,20,0,1,1,0,1,0,36880.0
18,2,24,2,2,1,88.4,141.1,60.3,53.2,1488.0,2,3,61.0,1,2.91,3.03,9.5,48.0,5100.0,47.0,53,0,1,1,0,1,0,5151.0
19,1,25,2,2,1,94.5,155.9,63.6,52.0,1874.0,3,4,90.0,1,3.03,3.11,9.6,70.0,5400.0,38.0,43,0,1,1,0,1,0,6295.0
20,0,26,4,3,1,94.5,158.8,63.6,52.0,1909.0,3,4,90.0,1,3.03,3.11,9.6,70.0,5400.0,38.0,43,0,1,1,0,1,0,6575.0
21,1,35,2,2,1,93.7,157.3,63.8,50.8,1876.0,3,4,90.0,1,2.97,3.23,9.41,68.0,5500.0,37.0,41,0,1,1,0,1,0,5572.0
22,1,27,2,2,1,93.7,157.3,63.8,50.8,1876.0,3,4,90.0,1,2.97,3.23,9.4,68.0,5500.0,31.0,38,0,1,1,0,1,0,6377.0
23,1,32,2,2,1,93.7,157.3,63.8,50.8,2128.0,3,4,98.0,5,3.03,3.39,7.6,102.0,5500.0,24.0,30,0,1,1,0,0,1,7957.0
24,1,34,4,2,1,93.7,157.3,63.8,50.6,1967.0,3,4,90.0,1,2.97,3.23,9.4,68.0,5500.0,31.0,38,0,1,1,0,1,0,6229.0
25,1,29,4,3,1,93.7,157.3,63.8,50.6,1989.0,3,4,90.0,1,2.97,3.23,9.4,68.0,5500.0,31.0,38,0,1,1,0,1,0,6692.0
26,1,28,4,3,1,93.7,157.3,63.8,50.6,1989.0,3,4,90.0,1,2.97,3.23,9.4,68.0,5500.0,31.0,38,0,1,1,0,1,0,7609.0
27,1,30,2,3,1,93.7,157.3,63.8,50.6,2191.0,3,4,98.0,5,3.03,3.39,7.6,102.0,5500.0,24.0,30,0,1,1,0,0,1,8558.0
28,-1,33,4,4,1,103.3,174.6,64.6,59.8,2535.0,3,4,122.0,1,3.34,3.46,8.5,88.0,5000.0,24.0,30,0,1,1,0,1,0,8921.0
29,3,31,2,2,1,95.9,173.2,66.3,50.2,2811.0,3,4,156.0,4,3.6,3.9,7.0,145.0,5000.0,19.0,24,0,1,1,0,0,1,12964.0
30,2,39,2,2,1,86.6,144.6,63.9,50.8,1713.0,3,4,92.0,0,2.91,3.41,9.6,58.0,4800.0,49.0,54,0,1,1,0,1,0,6479.0
31,2,43,2,2,1,86.6,144.6,63.9,50.8,1819.0,3,4,92.0,0,2.91,3.41,9.2,76.0,6000.0,31.0,38,0,1,1,0,1,0,6855.0
32,1,39,2,2,1,93.7,150.0,64.0,52.6,1837.0,3,4,79.0,0,2.91,3.07,10.1,60.0,5500.0,38.0,42,0,1,1,0,1,0,5399.0
33,1,37,2,2,1,93.7,150.0,64.0,52.6,1940.0,3,4,92.0,0,2.91,3.41,9.2,76.0,6000.0,30.0,34,0,1,1,0,1,0,6529.0
34,1,43,2,2,1,93.7,150.0,64.0,52.6,1956.0,3,4,92.0,0,2.91,3.41,9.2,76.0,6000.0,30.0,34,0,1,1,0,1,0,7129.0
35,0,38,4,3,1,96.5,163.4,64.0,54.5,2010.0,3,4,92.0,0,2.91,3.41,9.2,76.0,6000.0,30.0,34,0,1,1,0,1,0,7295.0
